"Error Name : Undefined variable $value\tError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\index.php\tLine Number : 90\tBrowser Name : Chrome"
"Error Name : Undefined variable $value\tError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php\tLine Number : 101\tBrowser Name : Chrome"
"Error Name : Undefined variable $value\tError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\buying-page.php\tLine Number : 76\tBrowser Name : Chrome"
"Error Name : Undefined variable $value\tError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\index.php\tLine Number : 90\tBrowser Name : Internet Explorer"
"Error Name : Undefined variable $value\tError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php\tLine Number : 101\tBrowser Name : Internet Explorer"
"Error Name : Undefined variable $value\tError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\buying-page.php\tLine Number : 76\tBrowser Name : Internet Explorer"
"Error Name : Undefined variable $value\tError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\index.php\tLine Number : 90\tBrowser Name : Internet Explorer"
"Error Name : Undefined variable $value\nError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\index.php\tLine Number : 90\tBrowser Name : Internet Explorer"
"Error Name : Undefined variable $value\nError Code : 2File Name : C:\\xampp\\htdocs\\1921930\\index.php\tLine Number : 90\tBrowser Name : Chrome"
"Error Name : Undefined variable $value Error Code : 2 File Name : C:\\xampp\\htdocs\\1921930\\index.php Line Number : 90 Browser Name : Chrome"
"Error Name : Undefined variable $value ,Error Code : 2 ,File Name : C:\\xampp\\htdocs\\1921930\\index.php ,Line Number : 90 ,Browser Name : Chrome"
"Error Name : Undefined variable $value ,Error Code : 2 ,File Name : C:\\xampp\\htdocs\\1921930\\index.php ,Line Number : 90 ,Browser Name : Chrome"
"Error Name : Undefined variable $value ,Error Code : 2 ,Time : 2021-03-13 06:37:38.978500 ,File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php ,Line Number : 101 ,Browser Name : Chrome"
"Error Name : Undefined variable $value ,Error Code : 2 ,Time : 2021-03-13 06:37:42.373600 ,File Name : C:\\xampp\\htdocs\\1921930\\buying-page.php ,Line Number : 76 ,Browser Name : Chrome"
"Error Name : Undefined variable $value ,Error Code : 2 ,Time : 2021-03-13 16:36:42.431700 ,File Name : C:\\xampp\\htdocs\\1921930\\index.php ,Line Number : 91 ,Browser Name : Chrome"
"Error Name : Undefined variable $value ,Error Code : 2 ,Time : 2021-03-13 16:36:44.301600 ,File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php ,Line Number : 102 ,Browser Name : Chrome"
"Error Name : Undefined variable $value ,Error Code : 2 ,Time : 2021-03-13 16:36:58.280400 ,File Name : C:\\xampp\\htdocs\\1921930\\buying-page.php ,Line Number : 77 ,Browser Name : Chrome"
"Error Name : Undefined variable $value ,Error Code : 2 ,Time : 2021-03-13 16:39:57.220000 ,File Name : C:\\xampp\\htdocs\\1921930\\index.php ,Line Number : 91 ,Browser Name : Chrome"
"Error Name : Undefined variable $value ,Error Code : 2 ,Time :  ,File Name : C:\\xampp\\htdocs\\1921930\\index.php ,Line Number : 91 ,Browser Name : "
"Error Name : Undefined variable $value ,Error Code : 2 ,Time :  ,File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php ,Line Number : 102 ,Browser Name : "
"Error Name : Undefined variable $value ,Error Code : 2 ,Time :  ,File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php ,Line Number : 102 ,Browser Name : "
"Error Name : Undefined variable $value ,Error Code : 2 ,Time : 2021-03-13 17:09:39.512600 ,File Name : C:\\xampp\\htdocs\\1921930\\index.php ,Line Number : 91 ,Browser Name : Chrome"
"Error Name : Undefined variable $value ,Error Code : 2 ,Time : 2021-03-13 17:09:41.280900 ,File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php ,Line Number : 102 ,Browser Name : Chrome"
"Error Name : Undefined variable $value ,Error Code : 2 ,Time : 2021-03-13 17:09:43.346900 ,File Name : C:\\xampp\\htdocs\\1921930\\buying-page.php ,Line Number : 77 ,Browser Name : Chrome"
"Error Name : Undefined variable $value ,Error Code : 2 ,Time : 2021-03-13 17:16:48.891700 ,File Name : C:\\xampp\\htdocs\\1921930\\index.php ,Line Number : 91 ,Browser Name : Chrome"
"Error Name : Undefined variable $value ,Error Code : 2 ,Time : 2021-03-13 17:16:50.294900 ,File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php ,Line Number : 102 ,Browser Name : Chrome"
"Error Name : Undefined variable $value ,Error Code : 2 ,Time : 2021-03-13 17:16:52.145800 ,File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php ,Line Number : 102 ,Browser Name : Chrome"
"Error Name : Undefined variable $value ,Error Code : 2 ,Time : 2021-03-13 17:16:54.357700 ,File Name : C:\\xampp\\htdocs\\1921930\\index.php ,Line Number : 91 ,Browser Name : Chrome"
"Error Name : Undefined variable $value ,Error Code : 2 ,Time : 2021-03-13 17:16:55.119400 ,File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php ,Line Number : 102 ,Browser Name : Chrome"
"Error Name : Undefined variable $value ,Error Code : 2 ,Time : 2021-03-13 17:16:57.928700 ,File Name : C:\\xampp\\htdocs\\1921930\\orders-page.php ,Line Number : 102 ,Browser Name : Chrome"
